name,movie_count,lead_performance,gender,popularity,profile_path,credits,order
Meryl Streep,28,25,Female,13.770999999999995,https://image.tmdb.org/t/p/original/emAAzyK1rJ6aiMi0wsWYp51EC3h.jpg,"[10315, 11157, 11631, 11774, 12102, 13818, 14462, 152737, 22414, 24803, 2757, 315664, 350, 35119, 446354, 517909, 590, 623856, 644, 646380, 688, 696, 71688, 8987, 9374, 9906, 15764, 22897]",0
Tom Cruise,27,24,Male,33.79600000000002,https://image.tmdb.org/t/p/original/8qBylBsQf4llkGrWR3qAsOtOU8O.jpg,"[137113, 1538, 177677, 180, 1903, 2253, 227, 318224, 334, 343611, 345, 353081, 361743, 37233, 380, 56292, 616, 628, 7446, 75612, 75780, 80585, 881, 9346, 9390, 955, 956]",1
Samuel L. Jackson,27,10,Male,61.49800000000003,https://image.tmdb.org/t/p/original/nCJJ3NVksYNxIzEHcyC1XziwPVj.jpg,"[100402, 10138, 1645, 1771, 184, 1894, 1895, 207703, 240916, 24428, 260513, 273248, 329, 340275, 390043, 393, 411019, 446696, 45153, 680, 68718, 8052, 87516, 925, 9741, 9806, 99861]",2
Willem Dafoe,25,8,Male,66.395,https://image.tmdb.org/t/p/original/ui8e4sgZAwMPi3hzEO53jyBJF9B.jpg,"[10315, 12, 120467, 127380, 1359, 1639, 17609, 222935, 249397, 2567, 36826, 392044, 394117, 406990, 421, 429202, 49529, 503919, 557, 558, 559, 597208, 643532, 791373, 792]",3
Robert De Niro,24,20,Male,41.289999999999985,https://image.tmdb.org/t/p/original/cT8htcckIuyI1Lqwt1CvD02ynTh.jpg,"[103, 10555, 11416, 1597, 1598, 184, 2270, 23631, 240, 257211, 274479, 36094, 363992, 365717, 398978, 475557, 51876, 62838, 68, 693, 769, 82693, 9013, 9992]",4
Owen Wilson,24,16,Male,68.07999999999998,https://image.tmdb.org/t/p/original/op8sGD20k3EQZLR92XtaHoIbW0o.jpg,"[10204, 10315, 116741, 120467, 13685, 13934, 14306, 1597, 171274, 175574, 181533, 18360, 260514, 38579, 421, 49013, 542178, 59436, 615904, 693, 81167, 9398, 9428, 9522]",5
Nicole Kidman,22,17,Female,31.10699999999998,https://image.tmdb.org/t/p/original/jTtiPqW6VlNE9nTf4BuUzuIqzlR.jpg,"[10197, 116149, 13998, 1933, 2289, 345, 399019, 399057, 414, 4547, 472451, 50546, 517088, 553, 577, 590, 6435, 82390, 824, 86825, 9722, 9836]",6
Alec Baldwin,22,7,Male,35.57154545454545,https://image.tmdb.org/t/p/original/hzKy7x574eeUS3wt1R3yvWBRpeR.jpg,"[11836, 1422, 1669, 174319, 177677, 2321, 2567, 284293, 3525, 353081, 4011, 487558, 5966, 7510, 7552, 80585, 81188, 81836, 9428, 9504, 9621, 22897]",7
Gary Oldman,21,14,Male,24.26299999999999,https://image.tmdb.org/t/p/original/2v9FVVBUrrkW2m3QOcYkuhq9A6o.jpg,"[101, 12445, 155, 17979, 18, 20504, 272, 390043, 399404, 49026, 49444, 49517, 517909, 520663, 6114, 614560, 673, 674, 675, 820, 9772]",8
Seth Rogen,21,10,Male,33.34500000000001,https://image.tmdb.org/t/p/original/2dPFskUtoiG0xafsSEGl9Oz4teA.jpg,"[12222, 13532, 140300, 15512, 195589, 228967, 321697, 325133, 333118, 371638, 40805, 459992, 49444, 516525, 6957, 804095, 810, 8204, 8363, 8699, 9502]",9
Stanley Tucci,21,4,Male,39.13,https://image.tmdb.org/t/p/original/1qgpdI5TMcKB4iULrGsZgNcymdf.jpg,"[101299, 10199, 11806, 131631, 131634, 1771, 18203, 24803, 314365, 335988, 350, 37735, 42297, 49806, 531219, 7303, 76285, 82703, 91314, 9928, 9944]",10
Frank Welker,21,1,Male,24.442,https://image.tmdb.org/t/p/original/xXODQ5AX6pG4my8ieeEIuiAREXs.jpg,"[10020, 10144, 10530, 10545, 109445, 11238, 11674, 12242, 12589, 14411, 15655, 15789, 24615, 335988, 62214, 721656, 856, 8587, 8965, 9906, 9994]",11
Keanu Reeves,20,17,Male,38.00199999999999,https://image.tmdb.org/t/p/original/4D0PpNI0kmP58hgrwGC3wCjxhnm.jpg,"[10200, 1637, 2046, 301365, 324552, 331583, 401104, 458156, 468, 489929, 513576, 603, 604, 605, 6114, 624860, 64686, 6964, 76544, 859]",12
Anne Hathaway,20,17,Female,52.46799999999998,https://image.tmdb.org/t/p/original/tLelKoPNiyJCSEtQTz1FGv4TLGc.jpg,"[10982, 11130, 11665, 142, 14442, 14976, 157336, 172385, 241259, 257211, 32856, 339967, 350, 402900, 46195, 49026, 531219, 552178, 82695, 9880]",12
Cate Blanchett,20,12,Female,23.69,https://image.tmdb.org/t/p/original/vUuEHiAR0eD3XEJhg2DWIjymUAA.jpg,"[120, 121, 1213, 122, 122917, 1259, 2046, 217, 2567, 258480, 284053, 330947, 402900, 405177, 421, 4922, 50456, 597208, 646380, 817758]",13
Harrison Ford,19,16,Male,37.20299999999999,https://image.tmdb.org/t/p/original/5M7oN3sznp99hWYQ9sX0xheswWX.jpg,"[109443, 11, 11092, 140607, 1891, 1892, 217, 28, 293863, 335984, 3525, 38357, 592, 80274, 85, 87, 89, 9281, 9772]",14
Brad Pitt,19,15,Male,56.806000000000026,https://image.tmdb.org/t/p/original/cckcYc2v0yh1tc9QjRelptcOBko.jpg,"[14411, 1541, 161, 163, 16869, 228150, 298, 318846, 365717, 4922, 4944, 550, 55059, 60308, 628, 76203, 787, 807, 615777]",15
Michelle Pfeiffer,19,15,Female,28.581000000000007,https://image.tmdb.org/t/p/original/oGUmQBU87QXAsnaGleYaAjAXSlj.jpg,"[10436, 10875, 111, 14411, 2270, 2321, 2976, 363088, 363992, 364, 3784, 381283, 392044, 6069, 62213, 62838, 859, 9037, 9837]",15
Steve Carell,19,15,Male,26.06,https://image.tmdb.org/t/p/original/dzJtsLspH5Bf8Tvw7OQC47ETNfJ.jpg,"[109443, 11665, 12222, 124459, 147773, 20352, 211672, 310, 318846, 324852, 339397, 369192, 451915, 50646, 6957, 773, 8699, 93456, 9722]",15
Tilda Swinton,19,10,Female,34.165,https://image.tmdb.org/t/p/original/gWbX3a7V2MgRMRzekfITNcb27xV.jpg,"[110415, 120467, 152603, 1903, 271718, 2757, 324807, 361292, 387426, 411, 4566, 473019, 473021, 4922, 4944, 542178, 556694, 83666, 9300]",16
Steve Buscemi,19,4,Male,24.92200000000001,https://image.tmdb.org/t/p/original/lQKdHMxfYcCBOvwRKBAxPZVNtkg.jpg,"[109418, 11305, 115, 12279, 124459, 14248, 1548, 159824, 19585, 275, 3563, 379, 38365, 500, 585, 587, 680, 9297, 9488]",17
Adam Sandler,18,18,Male,42.77800000000001,https://image.tmdb.org/t/p/original/gLkLCsQdwDDPabRhKPB25nGtKwS.jpg,"[10202, 10661, 10663, 109418, 11017, 159824, 1824, 232672, 3563, 38365, 396398, 50546, 71880, 8051, 9291, 9339, 9506, 9614]",18
Robin Williams,18,13,Male,20.225000000000005,https://image.tmdb.org/t/p/original/iYdeP6K0qz44Wg2Nw9LPJGMBkQ5.jpg,"[11000, 11238, 13225, 1593, 181533, 18360, 207, 320, 489, 5123, 644, 788, 801, 879, 9357, 9574, 9836, 9928]",19
Jude Law,18,13,Male,29.857999999999997,https://image.tmdb.org/t/p/original/A6Y0m7qEe04ZTHKyYDLbnyCHNzn.jpg,"[10528, 11774, 120467, 1213, 1581, 1599, 1989, 2288, 2289, 2567, 429202, 44826, 545237, 58574, 644, 782, 81188, 96724]",19
Ralph Fiennes,18,9,Male,37.37800000000001,https://image.tmdb.org/t/p/original/tJr9GcmGNHhLVVEH3i7QYbj6hBi.jpg,"[120467, 12162, 12444, 12445, 18823, 206647, 324807, 370172, 37724, 424, 532865, 533, 593643, 674, 675, 7303, 8321, 9837]",20
Michael Caine,18,9,Male,37.413000000000004,https://image.tmdb.org/t/p/original/hZruclwEPCKw3e83rnFSIH5sRFZ.jpg,"[11033, 1124, 1493, 155, 157336, 207703, 272, 27205, 291805, 310593, 45772, 49013, 49026, 577922, 75656, 818, 9693, 9722]",20
Antonio Banderas,18,9,Male,47.26999999999999,https://image.tmdb.org/t/p/original/iWIUEwgn2KW50MssR7tdPeFoRGW.jpg,"[10054, 10174, 10192, 103332, 106747, 12279, 2469, 417859, 4203, 446696, 517909, 628, 63311, 668640, 809, 810, 9488, 9800]",20
Philip Seymour Hoffman,18,7,Male,13.196,https://image.tmdb.org/t/p/original/50rqDkmvXwjwVhFH7q6ph2Rkw7S.jpg,"[101299, 115, 1213, 131631, 131634, 2289, 334, 398, 4960, 4995, 5966, 60308, 664, 68722, 786, 8051, 8052, 956]",21
Jim Cummings,18,3,Male,15.063999999999997,https://image.tmdb.org/t/p/original/c0sQPRCM5Ri3F4gVyxPr4AcPmIq.jpg,"[10198, 10530, 10545, 10865, 11238, 11430, 12589, 14411, 15653, 15655, 15789, 37135, 45772, 51162, 5559, 8587, 8916, 9732]",22
Sandra Bullock,17,16,Female,46.02700000000001,https://image.tmdb.org/t/p/original/u2tnZ0L2dwrzFKevVANYT5Pb1nE.jpg,"[10040, 10317, 136795, 1493, 1637, 1639, 1640, 1645, 18240, 211672, 22881, 402900, 405774, 49047, 6435, 64685, 9837]",23
Emma Stone,17,13,Female,39.202,https://image.tmdb.org/t/p/original/cZ8a3QvAnj2cgcgVL6g4XaqPzpL.jpg,"[102382, 1930, 194662, 19908, 313369, 337404, 369192, 375262, 37735, 38579, 50014, 50544, 50646, 529203, 612392, 82682, 8363]",24
Mark Ruffalo,17,12,Male,30.161000000000005,https://image.tmdb.org/t/p/original/5GilHMOt5PAQh6rlUKZzGmaKEI7.jpg,"[10096, 10944, 11324, 113833, 1538, 16523, 1949, 24428, 284053, 291805, 299536, 314365, 38, 39781, 552178, 75656, 99861]",25
Julianne Moore,17,12,Female,28.528000000000006,https://image.tmdb.org/t/p/original/3YF19rWusxWfEI59ZM33dFhasRq.jpg,"[10712, 115, 131631, 131634, 138697, 284293, 334, 34653, 383709, 39781, 491473, 4995, 50646, 520663, 590, 91010, 9693]",25
Woody Harrelson,17,10,Male,26.67599999999999,https://image.tmdb.org/t/p/original/gaibtvUFIlwHzRvNKV5UfrR4GCM.jpg,"[101299, 11321, 131631, 131634, 175574, 19908, 291805, 348350, 359940, 376660, 4478, 50544, 6977, 75656, 86838, 91010, 9506]",26
Jeffrey Wright,17,1,Male,23.103000000000005,https://image.tmdb.org/t/p/original/yGcuHGW4glqRpOPxgiCvjcren7F.jpg,"[101299, 10764, 131631, 131634, 14299, 14462, 152603, 348390, 36557, 370172, 414906, 445571, 45612, 517909, 542178, 64685, 9697]",27
Allison Janney,17,1,Female,19.689,https://image.tmdb.org/t/p/original/hpBKWV1jjoXQbr1s0iUZTSvw582.jpg,"[10490, 12, 14, 147773, 18203, 211672, 226486, 2976, 389015, 4951, 50014, 502416, 530723, 590, 7326, 82703, 9440]",27
Kristen Stewart,16,15,Female,20.75,https://image.tmdb.org/t/p/original/rCU7XhHavFAKatkrC2yFWO4FCXX.jpg,"[18239, 24021, 246860, 284293, 339397, 340487, 340676, 4547, 458897, 50619, 50620, 520172, 58595, 6795, 716612, 8966]",28
Dustin Hoffman,16,15,Male,15.899,https://image.tmdb.org/t/p/original/yFjTzJHE6AFbwQifOlnNDzmiwlq.jpg,"[10199, 12102, 12615, 140300, 1599, 212778, 3116, 37247, 380, 396398, 49444, 693, 879, 891, 9502, 9576]",28
Tom Hanks,16,15,Male,93.55199999999998,https://image.tmdb.org/t/p/original/xndWFsBlClOJFRdhSt4NBwiPq2o.jpg,"[10193, 11287, 13, 140823, 296098, 32562, 446354, 614934, 640, 64685, 83542, 857, 862, 863, 9489, 9800]",28
Cameron Diaz,16,15,Female,14.050999999999995,https://image.tmdb.org/t/p/original/tIWUyvmJayu8gtbrzCWC0L3H8kH.jpg,"[10192, 11812, 11931, 1581, 1903, 193610, 196867, 40805, 492, 52449, 544, 809, 810, 854, 8874, 9471]",28
Kirsten Dunst,16,14,Female,20.281000000000002,https://image.tmdb.org/t/p/original/sFYHUU1gWd57pttD8732tkBsXV5.jpg,"[10490, 11820, 1588, 1887, 245703, 38, 381284, 399019, 46503, 557, 558, 559, 600583, 62215, 628, 9621]",29
Jim Carrey,16,14,Male,22.776000000000007,https://image.tmdb.org/t/p/original/kuSlwTPsVlBMW0cvnFmbZce6PaV.jpg,"[11774, 12222, 124459, 1624, 17979, 3049, 310, 37165, 38, 414, 58224, 59859, 7552, 8467, 854, 8871]",29
Julia Roberts,16,13,Female,27.836999999999993,https://image.tmdb.org/t/p/original/AhQMyQ10kz5g8Y3Fp54GPhgDxQS.jpg,"[11191, 113833, 114, 11820, 152737, 161, 163, 2288, 32856, 462, 509, 7442, 879, 8874, 9906, 9944]",30
Amy Adams,16,12,Female,45.244000000000014,https://image.tmdb.org/t/p/original/bp7PLjL2fHVuLRFsw6ccpGrGjrA.jpg,"[10490, 152601, 168672, 18360, 209112, 24803, 329865, 340666, 4523, 49521, 520663, 640, 64328, 68722, 791373, 87093]",31
Scarlett Johansson,16,9,Female,52.784,https://image.tmdb.org/t/p/original/6NsMbJXRlDZuDzatN2akFdGuTvx.jpg,"[100402, 10138, 1124, 11836, 138697, 152601, 153, 1548, 212778, 240832, 24428, 271110, 299536, 492188, 81167, 99861]",32
Morgan Freeman,16,9,Male,52.26599999999999,https://image.tmdb.org/t/p/original/905k0RFzH0Kd6gx8oSxRdnr6FL.jpg,"[10562, 137106, 155, 1667, 214756, 240832, 272, 278, 291805, 310, 403, 49026, 70, 75612, 75656, 807]",32
Liam Neeson,16,7,Male,73.14099999999999,https://image.tmdb.org/t/p/original/bboldwqSC6tdw2iL6631c98l2Mn.jpg,"[11416, 137106, 188161, 18823, 1893, 214756, 227783, 272, 36419, 401469, 424, 479455, 49026, 508, 537996, 68730]",33
Bill Murray,16,5,Male,19.633,https://image.tmdb.org/t/p/original/nnCsJc9x3ZiG3AFyiyc3FPehppy.jpg,"[10315, 10776, 11545, 11665, 11977, 120467, 13600, 137, 153, 19908, 421, 493101, 542178, 83666, 9428, 9576]",34
