name,Logged_Year,movie_count,lead_performance,gender,popularity,profile_path,order,display
Tilda Swinton,2022,4,4,Female,34.165,https://image.tmdb.org/t/p/original/gWbX3a7V2MgRMRzekfITNcb27xV.jpg,0,1
Annette Bening,2022,4,3,Female,18.973,https://image.tmdb.org/t/p/original/jgG41fbSC3TK4LL67Obzrg0mTJ9.jpg,1,0
Meryl Streep,2022,4,3,Female,14.261,https://image.tmdb.org/t/p/original/emAAzyK1rJ6aiMi0wsWYp51EC3h.jpg,2,0
Bess Flowers,2022,4,0,Female,1.9669999999999999,https://image.tmdb.org/t/p/original/oErbIo6a2QPYZSqfdzU6vlDTD8i.jpg,3,0
Denzel Washington,2022,3,3,Male,55.43,https://image.tmdb.org/t/p/original/AHUnhGbnWnjin4M2sNdZYAei9h.jpg,4,1
Alec Baldwin,2022,3,3,Male,34.96233333333333,https://image.tmdb.org/t/p/original/hzKy7x574eeUS3wt1R3yvWBRpeR.jpg,5,0
Isabelle Huppert,2022,3,3,Female,21.956,https://image.tmdb.org/t/p/original/3YQwWkpNKQeV5NUmdCH76Ne1gDP.jpg,6,0
Shirley MacLaine,2022,3,3,Female,13.925999999999997,https://image.tmdb.org/t/p/original/mpW9c34IAFPW0ODuKR8J0FAqN5i.jpg,7,0
Courteney Cox,2022,3,2,Female,36.829,https://image.tmdb.org/t/p/original/3bTVQH9vBXAiwGVHXKLylStz4RT.jpg,8,0
Colin Farrell,2022,3,2,Male,33.365,https://image.tmdb.org/t/p/original/vVqrAhZpojAtp874wBaaFt5T4dN.jpg,9,0
Bradley Cooper,2022,3,2,Male,31.258,https://image.tmdb.org/t/p/original/pLD2XvxqHueLWOuqXoFngJU3A5H.jpg,10,0
Julianne Moore,2022,3,2,Female,28.528000000000002,https://image.tmdb.org/t/p/original/3YF19rWusxWfEI59ZM33dFhasRq.jpg,11,0
Donald Sutherland,2022,3,2,Male,25.449,https://image.tmdb.org/t/p/original/xIklgqM1VagBgXnY1Ffum060yC6.jpg,12,0
Penélope Cruz,2022,3,2,Female,20.857,https://image.tmdb.org/t/p/original/tU2ATiHHBAKn4SHqKOagYqdpHiy.jpg,13,0
Michelle Williams,2022,3,2,Female,20.157,https://image.tmdb.org/t/p/original/sXTP6wlqIDz1tDGLU3DFbklSTpq.jpg,14,0
Neve Campbell,2022,3,2,Female,19.714000000000002,https://image.tmdb.org/t/p/original/9fDbXBbrM6L10YrzDJUJowDt8U.jpg,15,0
David Arquette,2022,3,2,Male,13.606,https://image.tmdb.org/t/p/original/1C5sLNLNVZ3P8sMy7HUQ32IKdqX.jpg,16,0
Simon Russell Beale,2022,3,2,Male,6.499,https://image.tmdb.org/t/p/original/kY9lQfGb8HNhq5BM30td4G5FwFr.jpg,17,0
Samuel L. Jackson,2022,3,1,Male,61.49800000000001,https://image.tmdb.org/t/p/original/nCJJ3NVksYNxIzEHcyC1XziwPVj.jpg,18,0
Jean Smart,2022,3,0,Female,29.47,https://image.tmdb.org/t/p/original/gOvEAOtrtedfgS7oQvPgHuJV4F8.jpg,19,0
Ward Bond,2022,3,0,Male,13.818,https://image.tmdb.org/t/p/original/296v3SK2u6HHxG3IXGVeklJt7dk.jpg,20,0
Celia Weston,2022,3,0,Female,8.68,https://image.tmdb.org/t/p/original/pQYygvqfmKnK4weuUCLUX45q5AJ.jpg,21,0
Oz Perkins,2022,3,0,Male,7.843,https://image.tmdb.org/t/p/original/fCEfHXkvkKNPnySxlHvukgVOeTw.jpg,22,0
Roger Jackson,2022,3,0,Male,4.865,https://image.tmdb.org/t/p/original/kDAoLRPVKgfTXRhDep0JNouhyAV.jpg,23,0
