name,job,movie_count,gender,popularity,profile_path,order
Michael Kahn,Editor,29,Male,2.8910000000000005,https://image.tmdb.org/t/p/original/jb4Y9q1q91VRQJue0VXhU7VcXce.jpg,0
Steven Spielberg,Director,22,Male,28.487000000000002,https://image.tmdb.org/t/p/original/tZxcg19YQ3e8fJ0pOs7hjlnmmr6.jpg,1
Ann Roth,Costume Design,20,Female,3.4300000000000006,https://image.tmdb.org/t/p/original/cT4EtdqvG0Yq4EQ3LASXiwyndYi.jpg,2
Mary Zophres,Costume Design,19,Female,4.766947368421051,https://image.tmdb.org/t/p/original/kLvPS8HSyLSxvROaK9wlc9WlPlr.jpg,3
Colleen Atwood,Costume Design,17,Female,3.5799999999999987,https://image.tmdb.org/t/p/original/4hbAdhvoCkENdoFDLKdXck1ESIl.jpg,4
Michael Ballhaus,Director of Photography,17,Male,2.841999999999999,https://image.tmdb.org/t/p/original/9DHIGsrgeTWA0rch3fFGXTOl1lO.jpg,5
Dean Cundey,Director of Photography,16,Male,6.525000000000002,https://image.tmdb.org/t/p/original/5f95wKLwh4OTjGEzNkDhOdixDxU.jpg,6
Mark Bridges,Costume Design,15,Male,2.491,https://image.tmdb.org/t/p/original/mw2M3u5WtvBcbL3QdudnaWlWjiV.jpg,7
Martin Scorsese,Director,14,Male,17.377000000000002,https://image.tmdb.org/t/p/original/9U9Y5GQuWX3EZy39B8nkk4NY01S.jpg,8
Edith Head,Costume Design,14,Female,4.9215,https://image.tmdb.org/t/p/original/l6LmpdKnU67FaoNBLi8VRRoO6wX.jpg,9
Albert Wolsky,Costume Design,14,Male,4.074714285714285,https://image.tmdb.org/t/p/original/lUFslczrjBt2zfVmr6s65ggfakB.jpg,10
Robert Elswit,Director of Photography,14,Male,3.774999999999999,https://image.tmdb.org/t/p/original/5urU681Z1ZyJxfjEGp6qY6XYXg1.jpg,11
Michael Wilkinson,Costume Design,14,Male,3.759,https://image.tmdb.org/t/p/original/5363Z5CBR7PoVjyxxnVOuifKrM5.jpg,12
