name,job,Logged_Year,movie_count,gender,popularity,profile_path,order,display
Terence Davies,Writer,2022,2,Male,1.699,https://image.tmdb.org/t/p/original/uBbFee7ggk5vrCK4kcAcLOSYi0y.jpg,0,1
Billy Wilder,Screenplay,2022,2,Male,7.04,https://image.tmdb.org/t/p/original/tfVte6h2dlLn59Q0Mi6AvWAyRLP.jpg,1,1
Richard LaGravenese,Screenplay,2022,2,Male,6.3820000000000014,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,2,0
Carrie Fisher,Screenplay,2022,2,Female,6.242000000000001,https://image.tmdb.org/t/p/original/veakLIqGCbG0ek3YKfrlzcF72CG.jpg,3,0
Kevin Williamson,Screenplay,2022,2,Male,5.86,https://image.tmdb.org/t/p/original/jWgZZoKBU1WFaCO5C7jpMBZ7xJs.jpg,4,0
Michael Kahn,Editor,2022,3,Male,2.891,https://image.tmdb.org/t/p/original/jb4Y9q1q91VRQJue0VXhU7VcXce.jpg,5,1
David Moritz,Editor,2022,3,Male,1.2353333333333334,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,6,0
Affonso Gonçalves,Editor,2022,3,Male,0.652,https://image.tmdb.org/t/p/original/li0pyoKJuUqBGoR7grNNIb1xw0P.jpg,7,0
Peter Teschner,Editor,2022,2,Male,3.887,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,8,0
Hugh S. Fowler,Editor,2022,2,Male,2.207,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,9,0
Sarah Broshar,Editor,2022,2,Male,2.112,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,10,0
Sloane Klevin,Editor,2022,2,Female,1.4,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,11,0
Richard Marks,Editor,2022,2,Male,1.3119999999999998,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,12,0
Julie Monroe,Editor,2022,2,Female,1.176,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,13,0
Joe Hutshing,Editor,2022,2,Male,0.745,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,14,0
Peter Deming,Director of Photography,2022,4,Male,2.5610000000000004,https://image.tmdb.org/t/p/original/3NgM7E5kRYFMXY5znBPktbeI6qB.jpg,15,1
Janusz Kamiński,Director of Photography,2022,3,Male,4.029,https://image.tmdb.org/t/p/original/5yURZbwMmhiXXlvDmRdz4V14Ufs.jpg,16,0
Edward Lachman,Director of Photography,2022,3,Male,1.063,https://image.tmdb.org/t/p/original/3kVVmrHn39L0yuNHTbd3slTiNaz.jpg,17,0
Andrzej Bartkowiak,Director of Photography,2022,2,Male,5.9510000000000005,https://image.tmdb.org/t/p/original/cBYVubgzVWBPCQ7OzRRa0AL6tLe.jpg,18,0
Dante Spinotti,Director of Photography,2022,2,Male,4.3069999999999995,https://image.tmdb.org/t/p/original/7Ts0bNMarg8t5tUS0fKZthhvCYF.jpg,19,0
Russell Metty,Director of Photography,2022,2,Male,3.74,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,20,0
Steve Yedlin,Director of Photography,2022,2,Male,1.706,https://image.tmdb.org/t/p/original/u5TFf0Lpe4PZbMFEGWKBKjGFp6G.jpg,21,0
Robert Burks,Director of Photography,2022,2,Male,1.646,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,22,0
John Toll,Director of Photography,2022,2,Male,1.4754999999999998,https://image.tmdb.org/t/p/original/cfL9A6tC7L5Ps5fq1o3WpVKGMb1.jpg,23,0
Bruno Delbonnel,Director of Photography,2022,2,Male,1.228,https://image.tmdb.org/t/p/original/kVbyFpLGftvOMBpZjPE8QoW4NEa.jpg,24,0
Florian Hoffmeister,Director of Photography,2022,2,Male,1.052,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,25,0
Ari Wegner,Director of Photography,2022,2,Female,0.826,https://image.tmdb.org/t/p/original/qYRP8drakvkybFBaPrqbQErTBdV.jpg,26,0
Steven Spielberg,Director,2022,3,Male,28.487,https://image.tmdb.org/t/p/original/tZxcg19YQ3e8fJ0pOs7hjlnmmr6.jpg,27,1
Ryan Murphy,Director,2022,2,Male,17.275,https://image.tmdb.org/t/p/original/uPojf0hEIpud1huRC9NY7R55OSy.jpg,28,0
Alfred Hitchcock,Director,2022,2,Male,12.177999999999999,https://image.tmdb.org/t/p/original/108fiNM6poRieMg7RIqLJRxdAwG.jpg,29,0
Todd Field,Director,2022,2,Male,10.844000000000001,https://image.tmdb.org/t/p/original/dJZYO81fHPK0unjrlbqOtUuhcly.jpg,30,0
Pedro Almodóvar,Director,2022,2,Male,7.763,https://image.tmdb.org/t/p/original/dKlaXJk3NLcsC1CKMx6xmyW5BZD.jpg,31,0
Dan Fogelman,Director,2022,2,Male,7.129,https://image.tmdb.org/t/p/original/grLBoLU2blYEoT8vjGFOiM8mw1D.jpg,32,0
Billy Wilder,Director,2022,2,Male,7.04,https://image.tmdb.org/t/p/original/tfVte6h2dlLn59Q0Mi6AvWAyRLP.jpg,33,0
Howard Hawks,Director,2022,2,Male,6.199,https://image.tmdb.org/t/p/original/hG2oF9wZlqwGqP6EhG0qaN9Afg7.jpg,34,0
Wes Craven,Director,2022,2,Male,4.5969999999999995,https://image.tmdb.org/t/p/original/eqwl6owrYykeTGTpKxwcAkbEJmg.jpg,35,0
John M. Stahl,Director,2022,2,Male,3.7880000000000003,https://image.tmdb.org/t/p/original/jP2csaGsZJ39CKp11cQgSaznZEt.jpg,36,0
Terence Davies,Director,2022,2,Male,1.699,https://image.tmdb.org/t/p/original/uBbFee7ggk5vrCK4kcAcLOSYi0y.jpg,37,0
Todd Haynes,Director,2022,2,Male,1.147,https://image.tmdb.org/t/p/original/h11kdTCA8QOMpihH12Wz2phQkW2.jpg,38,0
Bina Daigeler,Costume Design,2022,3,Male,0.919,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,39,1
Edith Head,Costume Design,2022,2,Female,4.878,https://image.tmdb.org/t/p/original/l6LmpdKnU67FaoNBLi8VRRoO6wX.jpg,40,0
Marlene Stewart,Costume Design,2022,2,Female,4.64,https://image.tmdb.org/t/p/original/bERazmKyh3I848FmjtnJH3Q7Dzj.jpg,41,0
Debra McGuire,Costume Design,2022,2,Female,4.324,https://image.tmdb.org/t/p/original/2wH44GuUhNUORaANbwOjJNmkC3r.jpg,42,0
Albert Wolsky,Costume Design,2022,2,Male,4.14,https://image.tmdb.org/t/p/original/lUFslczrjBt2zfVmr6s65ggfakB.jpg,43,0
Jacqueline Durran,Costume Design,2022,2,Female,1.955,https://image.tmdb.org/t/p/original/5aJTWqO5nZ8JSbLU5TxaACii8Tl.jpg,44,0
Sandy Powell,Costume Design,2022,2,Female,1.916,https://image.tmdb.org/t/p/original/3pK4SuBmOVghdktSREkSBkFFnG.jpg,45,0
Melissa Toth,Costume Design,2022,2,Female,1.788,https://image.tmdb.org/t/p/original/2lJQri7Qk3KAcVpVCfrfiBSsAnW.jpg,46,0
Odile Dicks-Mireaux,Costume Design,2022,2,Female,1.62,https://image.tmdb.org/t/p/original/bRaSyTCnU4BNTvjN7Z9yM0FjX9b.jpg,47,0
Karen Patch,Costume Design,2022,2,Female,0.86,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,48,0
Caroline Duncan,Costume Design,2022,2,Female,0.84,https://image.tmdb.org/t/p/original/t5Zj7nbJ67JEJBAVHLMD36pqT0y.jpg,49,0
Sophie de Rakoff,Costume Design,2022,2,Female,0.84,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,49,0
Travilla,Costume Design,2022,2,Male,0.802,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,50,0
David Tabbert,Costume Design,2022,2,Male,0.6,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,51,0
Christopher Guest,Writer,2021,2,Male,12.897,https://image.tmdb.org/t/p/original/blRS1tkcgZROLC7ObGigFEzvp2r.jpg,52,1
