Logged_Date,Name,Year,english_language,popularity,vote_average,vote_count,revenue,runtime,Rating,Review,Logged_DOW,Logged_Month,Logged_Year,Logged_Week,Daily_Movie_Count,Weekly_Movie_Count,Action,Crime,War,Drama,Thriller,Mystery,Comedy,Romance,Sci_Fi,Animation,Documentary,Adventure,Music,Horror,Fantasy,History,Western,Rom_Com,female_roles,female_driven,female_directed,negativity_percentage,neutrality_percentage,positivity_percentage,movie_sentiment
2017-07-29,Baby Driver,2017,1,61.496,7.5,12214,226945087,113,4.0,0,6,7,2017,30,244,387,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.461,0.539,0.0,-0.9287
2017-07-29,Dunkirk,2017,1,42.101000000000006,7.5,13143,525573161,107,2.0,0,6,7,2017,30,244,387,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.13,0.87,0.0,-0.7184
2017-07-29,Atomic Blonde,2017,1,30.951,6.4,5083,100014025,115,0.0,0,6,7,2017,30,244,387,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.32,0.68,0.0,-0.8957
2017-07-29,Gone Girl,2014,1,42.435,7.9,14638,369330363,149,5.0,0,6,7,2017,30,244,387,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1.0,0.0,0.126,0.832,0.042,-0.3891
2017-07-29,Heathers,1989,1,13.468,7.4,1187,1108462,103,0.0,0,6,7,2017,30,244,387,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0,0.0,0.0,0.157,0.707,0.136,-0.2023
2017-07-29,Brokeback Mountain,2005,1,28.011999999999997,7.8,5227,178043761,134,0.0,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,0.0,0.0,0.078,0.751,0.171,0.4019
2017-07-29,The Devil Wears Prada,2006,1,49.52,7.4,9458,326551094,109,5.0,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,1.0,0.0,0.25,0.68,0.07,-0.7851
2017-07-29,Arrival,2016,1,36.757,7.5,14075,203388186,116,4.5,0,6,7,2017,30,244,387,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.0,0.0,0.0,0.107,0.784,0.11,0.0258
2017-07-29,Lion,2016,1,126.119,8.3,14327,763455561,89,0.0,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0,0.0,0.0,0.145,0.834,0.02,-0.8591
2017-07-29,Just Go with It,2011,1,61.875,6.6,4313,214945591,117,5.0,0,6,7,2017,30,244,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0,1.0,0.0,0.122,0.771,0.107,0.0276
